url	passage	tokenid	token	lexeme
https://lingualatina.github.io/texts/browsable/hyginus/2pr/	2pr.title	2pr.title.0	INO	ls.null
https://lingualatina.github.io/texts/browsable/hyginus/2pr/	2pr.title	2pr.title.0_0	.	ls.null
https://lingualatina.github.io/texts/browsable/hyginus/2pr/	2pr.1	2pr.1.0	Ino	ls.null
https://lingualatina.github.io/texts/browsable/hyginus/2pr/	2pr.1	2pr.1.1	Cadmi	ls.null
https://lingualatina.github.io/texts/browsable/hyginus/2pr/	2pr.1	2pr.1.2	et	ls.n16278:et
https://lingualatina.github.io/texts/browsable/hyginus/2pr/	2pr.1	2pr.1.3	Harmoniae	ls.n20237:harmonia1
https://lingualatina.github.io/texts/browsable/hyginus/2pr/	2pr.1	2pr.1.4	filia	ls.n18173:filia
https://lingualatina.github.io/texts/browsable/hyginus/2pr/	2pr.1	2pr.1.4_0	,	ls.null
https://lingualatina.github.io/texts/browsable/hyginus/2pr/	2pr.1	2pr.1.5	cum	ls.n11872:cum1
https://lingualatina.github.io/texts/browsable/hyginus/2pr/	2pr.1	2pr.1.6	Phrixum	ls.null
https://lingualatina.github.io/texts/browsable/hyginus/2pr/	2pr.1	2pr.1.7	et	ls.n16278:et
https://lingualatina.github.io/texts/browsable/hyginus/2pr/	2pr.1	2pr.1.8	Hellen	ls.null
https://lingualatina.github.io/texts/browsable/hyginus/2pr/	2pr.1	2pr.1.9	ex	ls.n16519:ex
https://lingualatina.github.io/texts/browsable/hyginus/2pr/	2pr.1	2pr.1.10	Nebula	ls.n30600:nebula
https://lingualatina.github.io/texts/browsable/hyginus/2pr/	2pr.1	2pr.1.11	natos	ls.n30423:nascor
https://lingualatina.github.io/texts/browsable/hyginus/2pr/	2pr.1	2pr.1.12	interficere	ls.n24257:interficio
https://lingualatina.github.io/texts/browsable/hyginus/2pr/	2pr.1	2pr.1.13	uoluisset	ls.n51298:volo1
https://lingualatina.github.io/texts/browsable/hyginus/2pr/	2pr.1	2pr.1.13_0	,	ls.null
https://lingualatina.github.io/texts/browsable/hyginus/2pr/	2pr.1	2pr.1.14	iniit	ls.null
https://lingualatina.github.io/texts/browsable/hyginus/2pr/	2pr.1	2pr.1.15	consilium	ls.n10519:consilium
https://lingualatina.github.io/texts/browsable/hyginus/2pr/	2pr.1	2pr.1.16	cum	ls.n11872:cum1
https://lingualatina.github.io/texts/browsable/hyginus/2pr/	2pr.1	2pr.1.17	totius	ls.null
https://lingualatina.github.io/texts/browsable/hyginus/2pr/	2pr.1	2pr.1.18	generis	ls.n19477:genus1
https://lingualatina.github.io/texts/browsable/hyginus/2pr/	2pr.1	2pr.1.19	matronis	ls.n28220:matrona1
https://lingualatina.github.io/texts/browsable/hyginus/2pr/	2pr.1	2pr.1.20	et	ls.n16278:et
https://lingualatina.github.io/texts/browsable/hyginus/2pr/	2pr.1	2pr.1.21	coniurauit	ls.n10364:conjuro
https://lingualatina.github.io/texts/browsable/hyginus/2pr/	2pr.1	2pr.1.22	ut	ls.n49975:ut
https://lingualatina.github.io/texts/browsable/hyginus/2pr/	2pr.1	2pr.1.23	fruges	ls.n18920:frux
https://lingualatina.github.io/texts/browsable/hyginus/2pr/	2pr.1	2pr.1.24	in	ls.n22111:in1
https://lingualatina.github.io/texts/browsable/hyginus/2pr/	2pr.1	2pr.1.25	sementem	ls.null
https://lingualatina.github.io/texts/browsable/hyginus/2pr/	2pr.1	2pr.1.26	quas	ls.n40242:quis1
https://lingualatina.github.io/texts/browsable/hyginus/2pr/	2pr.1	2pr.1.26	quas	ls.n40103:qui1
https://lingualatina.github.io/texts/browsable/hyginus/2pr/	2pr.1	2pr.1.27	daret	ls.n14599:do1
https://lingualatina.github.io/texts/browsable/hyginus/2pr/	2pr.1	2pr.1.28	torrerent	ls.null
https://lingualatina.github.io/texts/browsable/hyginus/2pr/	2pr.1	2pr.1.28_0	,	ls.null
https://lingualatina.github.io/texts/browsable/hyginus/2pr/	2pr.1	2pr.1.29	ne	ls.n30583:ne1
https://lingualatina.github.io/texts/browsable/hyginus/2pr/	2pr.1	2pr.1.30	nascerentur	ls.n30423:nascor
https://lingualatina.github.io/texts/browsable/hyginus/2pr/	2pr.1	2pr.1.30_0	;	ls.null
https://lingualatina.github.io/texts/browsable/hyginus/2pr/	2pr.1	2pr.1.31	ita	ls.n25100:ita
https://lingualatina.github.io/texts/browsable/hyginus/2pr/	2pr.1	2pr.1.32	ut	ls.n49975:ut
https://lingualatina.github.io/texts/browsable/hyginus/2pr/	2pr.1	2pr.1.32_0	,	ls.null
https://lingualatina.github.io/texts/browsable/hyginus/2pr/	2pr.1	2pr.1.33	cum	ls.n11872:cum1
https://lingualatina.github.io/texts/browsable/hyginus/2pr/	2pr.1	2pr.1.34	sterilitas	ls.n45362:sterilitas
https://lingualatina.github.io/texts/browsable/hyginus/2pr/	2pr.1	2pr.1.35	et	ls.n16278:et
https://lingualatina.github.io/texts/browsable/hyginus/2pr/	2pr.1	2pr.1.36	penuria	ls.n34585:penuria
https://lingualatina.github.io/texts/browsable/hyginus/2pr/	2pr.1	2pr.1.37	frugum	ls.n18920:frux
https://lingualatina.github.io/texts/browsable/hyginus/2pr/	2pr.1	2pr.1.38	esset	ls.n46529:sum1
https://lingualatina.github.io/texts/browsable/hyginus/2pr/	2pr.1	2pr.1.38_0	,	ls.null
https://lingualatina.github.io/texts/browsable/hyginus/2pr/	2pr.1	2pr.1.39	ciuitas	ls.n8465:civitas
https://lingualatina.github.io/texts/browsable/hyginus/2pr/	2pr.1	2pr.1.40	tota	ls.null
https://lingualatina.github.io/texts/browsable/hyginus/2pr/	2pr.1	2pr.1.41	partim	ls.n33974:partim
https://lingualatina.github.io/texts/browsable/hyginus/2pr/	2pr.1	2pr.1.42	fame	ls.n17642:fames
https://lingualatina.github.io/texts/browsable/hyginus/2pr/	2pr.1	2pr.1.42_0	,	ls.null
https://lingualatina.github.io/texts/browsable/hyginus/2pr/	2pr.1	2pr.1.43	partim	ls.n33974:partim
https://lingualatina.github.io/texts/browsable/hyginus/2pr/	2pr.1	2pr.1.44	morbo	ls.null
https://lingualatina.github.io/texts/browsable/hyginus/2pr/	2pr.1	2pr.1.45	interiret	ls.n24288:interitus1
https://lingualatina.github.io/texts/browsable/hyginus/2pr/	2pr.1	2pr.1.45	interiret	ls.n24241:intereo
https://lingualatina.github.io/texts/browsable/hyginus/2pr/	2pr.1	2pr.1.45_0	.	ls.null
https://lingualatina.github.io/texts/browsable/hyginus/2pr/	2pr.2	2pr.2.0	de	ls.do
https://lingualatina.github.io/texts/browsable/hyginus/2pr/	2pr.2	2pr.2.0	de	ls.n12361:de2
https://lingualatina.github.io/texts/browsable/hyginus/2pr/	2pr.2	2pr.2.1	ea	ls.n25029:is
https://lingualatina.github.io/texts/browsable/hyginus/2pr/	2pr.2	2pr.2.2	re	ls.n41293:res
https://lingualatina.github.io/texts/browsable/hyginus/2pr/	2pr.2	2pr.2.3	Delphos	ls.null
https://lingualatina.github.io/texts/browsable/hyginus/2pr/	2pr.2	2pr.2.4	mittit	ls.n29328:mitto
https://lingualatina.github.io/texts/browsable/hyginus/2pr/	2pr.2	2pr.2.5	Athamas	ls.n4239:Athamas
https://lingualatina.github.io/texts/browsable/hyginus/2pr/	2pr.2	2pr.2.6	satellitem	ls.n42691:satelles
https://lingualatina.github.io/texts/browsable/hyginus/2pr/	2pr.2	2pr.2.6_0	,	ls.null
https://lingualatina.github.io/texts/browsable/hyginus/2pr/	2pr.2	2pr.2.7	cui	ls.n40242:quis1
https://lingualatina.github.io/texts/browsable/hyginus/2pr/	2pr.2	2pr.2.7	cui	ls.n40103:qui1
https://lingualatina.github.io/texts/browsable/hyginus/2pr/	2pr.2	2pr.2.8	Ino	ls.null
https://lingualatina.github.io/texts/browsable/hyginus/2pr/	2pr.2	2pr.2.9	praecepit	ls.n37409:praecipio
https://lingualatina.github.io/texts/browsable/hyginus/2pr/	2pr.2	2pr.2.10	ut	ls.n49975:ut
https://lingualatina.github.io/texts/browsable/hyginus/2pr/	2pr.2	2pr.2.11	falsum	ls.n17632:falsus
https://lingualatina.github.io/texts/browsable/hyginus/2pr/	2pr.2	2pr.2.12	responsum	ls.n41387:respondeo
https://lingualatina.github.io/texts/browsable/hyginus/2pr/	2pr.2	2pr.2.13	ita	ls.n25100:ita
https://lingualatina.github.io/texts/browsable/hyginus/2pr/	2pr.2	2pr.2.14	referret	ls.n40791:refero
https://lingualatina.github.io/texts/browsable/hyginus/2pr/	2pr.2	2pr.2.14_0	,	ls.null
https://lingualatina.github.io/texts/browsable/hyginus/2pr/	2pr.2	2pr.2.15	si	ls.do
https://lingualatina.github.io/texts/browsable/hyginus/2pr/	2pr.2	2pr.2.15	si	ls.n44096:si
https://lingualatina.github.io/texts/browsable/hyginus/2pr/	2pr.2	2pr.2.16	Phrixum	ls.null
https://lingualatina.github.io/texts/browsable/hyginus/2pr/	2pr.2	2pr.2.17	immolasset	ls.n21752:immolo
https://lingualatina.github.io/texts/browsable/hyginus/2pr/	2pr.2	2pr.2.18	Ioui	ls.null
https://lingualatina.github.io/texts/browsable/hyginus/2pr/	2pr.2	2pr.2.18_0	,	ls.null
https://lingualatina.github.io/texts/browsable/hyginus/2pr/	2pr.2	2pr.2.19	pestilentiae	ls.n35777:pestilentia
https://lingualatina.github.io/texts/browsable/hyginus/2pr/	2pr.2	2pr.2.20	fore	ls.n46529:sum1
https://lingualatina.github.io/texts/browsable/hyginus/2pr/	2pr.2	2pr.2.21	finem	ls.n18202:finis
https://lingualatina.github.io/texts/browsable/hyginus/2pr/	2pr.2	2pr.2.21_0	.	ls.null
https://lingualatina.github.io/texts/browsable/hyginus/2pr/	2pr.2	2pr.2.22	quod	ls.n40262:quod1
https://lingualatina.github.io/texts/browsable/hyginus/2pr/	2pr.2	2pr.2.22	quod	ls.n40103:qui1
https://lingualatina.github.io/texts/browsable/hyginus/2pr/	2pr.2	2pr.2.23	cum	ls.n11872:cum1
https://lingualatina.github.io/texts/browsable/hyginus/2pr/	2pr.2	2pr.2.24	Athamas	ls.n4239:Athamas
https://lingualatina.github.io/texts/browsable/hyginus/2pr/	2pr.2	2pr.2.25	se	ls.do
https://lingualatina.github.io/texts/browsable/hyginus/2pr/	2pr.2	2pr.2.25	se	ls.n46498:sui
https://lingualatina.github.io/texts/browsable/hyginus/2pr/	2pr.2	2pr.2.26	facturum	ls.n17516:facio
https://lingualatina.github.io/texts/browsable/hyginus/2pr/	2pr.2	2pr.2.27	abnuisset	ls.null
https://lingualatina.github.io/texts/browsable/hyginus/2pr/	2pr.2	2pr.2.27_0	,	ls.null
https://lingualatina.github.io/texts/browsable/hyginus/2pr/	2pr.2	2pr.2.28	Phrixus	ls.null
https://lingualatina.github.io/texts/browsable/hyginus/2pr/	2pr.2	2pr.2.29	ultro	ls.null
https://lingualatina.github.io/texts/browsable/hyginus/2pr/	2pr.2	2pr.2.30	ac	ls.n283:ac2
https://lingualatina.github.io/texts/browsable/hyginus/2pr/	2pr.2	2pr.2.31	libens	ls.n26488:libet
https://lingualatina.github.io/texts/browsable/hyginus/2pr/	2pr.2	2pr.2.32	pollicetur	ls.n36862:polliceor
https://lingualatina.github.io/texts/browsable/hyginus/2pr/	2pr.2	2pr.2.33	se	ls.do
https://lingualatina.github.io/texts/browsable/hyginus/2pr/	2pr.2	2pr.2.33	se	ls.n46498:sui
https://lingualatina.github.io/texts/browsable/hyginus/2pr/	2pr.2	2pr.2.34	unum	ls.n49871:unus
https://lingualatina.github.io/texts/browsable/hyginus/2pr/	2pr.2	2pr.2.35	ciuitatem	ls.n8465:civitas
https://lingualatina.github.io/texts/browsable/hyginus/2pr/	2pr.2	2pr.2.36	aerumna	ls.n1353:aerumna
https://lingualatina.github.io/texts/browsable/hyginus/2pr/	2pr.2	2pr.2.37	liberaturum	ls.n26479:libero
https://lingualatina.github.io/texts/browsable/hyginus/2pr/	2pr.2	2pr.2.37_0	.	ls.null
https://lingualatina.github.io/texts/browsable/hyginus/2pr/	2pr.3	2pr.3.0	itaque	ls.n25104:itaque
https://lingualatina.github.io/texts/browsable/hyginus/2pr/	2pr.3	2pr.3.1	cum	ls.n11872:cum1
https://lingualatina.github.io/texts/browsable/hyginus/2pr/	2pr.3	2pr.3.2	ad	ls.n665:ad
https://lingualatina.github.io/texts/browsable/hyginus/2pr/	2pr.3	2pr.3.3	aram	ls.n3310:ara
https://lingualatina.github.io/texts/browsable/hyginus/2pr/	2pr.3	2pr.3.4	cum	ls.n11872:cum1
https://lingualatina.github.io/texts/browsable/hyginus/2pr/	2pr.3	2pr.3.5	infulis	ls.null
https://lingualatina.github.io/texts/browsable/hyginus/2pr/	2pr.3	2pr.3.6	esset	ls.n46529:sum1
https://lingualatina.github.io/texts/browsable/hyginus/2pr/	2pr.3	2pr.3.7	adductus	ls.n743:adduco
https://lingualatina.github.io/texts/browsable/hyginus/2pr/	2pr.3	2pr.3.7_0	,	ls.null
https://lingualatina.github.io/texts/browsable/hyginus/2pr/	2pr.3	2pr.3.8	satelles	ls.n42691:satelles
https://lingualatina.github.io/texts/browsable/hyginus/2pr/	2pr.3	2pr.3.9	misericordia	ls.n29266:misericordia
https://lingualatina.github.io/texts/browsable/hyginus/2pr/	2pr.3	2pr.3.10	adulescentis	ls.n1021:adulescens
https://lingualatina.github.io/texts/browsable/hyginus/2pr/	2pr.3	2pr.3.11	Inus	ls.null
https://lingualatina.github.io/texts/browsable/hyginus/2pr/	2pr.3	2pr.3.12	Athamanti	ls.n4239:Athamas
https://lingualatina.github.io/texts/browsable/hyginus/2pr/	2pr.3	2pr.3.13	consilium	ls.n10519:consilium
https://lingualatina.github.io/texts/browsable/hyginus/2pr/	2pr.3	2pr.3.14	patefecit	ls.n34084:patefacio
https://lingualatina.github.io/texts/browsable/hyginus/2pr/	2pr.3	2pr.3.14_0	;	ls.null
https://lingualatina.github.io/texts/browsable/hyginus/2pr/	2pr.3	2pr.3.15	rex	ls.n41625:rex1
https://lingualatina.github.io/texts/browsable/hyginus/2pr/	2pr.3	2pr.3.16	facinore	ls.n17515:facinus
https://lingualatina.github.io/texts/browsable/hyginus/2pr/	2pr.3	2pr.3.17	cognito	ls.n8938:cognosco
https://lingualatina.github.io/texts/browsable/hyginus/2pr/	2pr.3	2pr.3.17_0	,	ls.null
https://lingualatina.github.io/texts/browsable/hyginus/2pr/	2pr.3	2pr.3.18	uxorem	ls.n50039:uxor
https://lingualatina.github.io/texts/browsable/hyginus/2pr/	2pr.3	2pr.3.19	suam	ls.n47174:suus
https://lingualatina.github.io/texts/browsable/hyginus/2pr/	2pr.3	2pr.3.20	Ino	ls.null
https://lingualatina.github.io/texts/browsable/hyginus/2pr/	2pr.3	2pr.3.21	et	ls.n16278:et
https://lingualatina.github.io/texts/browsable/hyginus/2pr/	2pr.3	2pr.3.22	filium	ls.n18185:filius
https://lingualatina.github.io/texts/browsable/hyginus/2pr/	2pr.3	2pr.3.23	eius	ls.n25029:is
https://lingualatina.github.io/texts/browsable/hyginus/2pr/	2pr.3	2pr.3.24	Melicerten	ls.null
https://lingualatina.github.io/texts/browsable/hyginus/2pr/	2pr.3	2pr.3.25	Phrixo	ls.null
https://lingualatina.github.io/texts/browsable/hyginus/2pr/	2pr.3	2pr.3.26	dedidit	ls.n12628:dedo
https://lingualatina.github.io/texts/browsable/hyginus/2pr/	2pr.3	2pr.3.27	necandos	ls.n30624:neco
https://lingualatina.github.io/texts/browsable/hyginus/2pr/	2pr.3	2pr.3.27_0	.	ls.null
https://lingualatina.github.io/texts/browsable/hyginus/2pr/	2pr.4	2pr.4.0	quos	ls.n40242:quis1
https://lingualatina.github.io/texts/browsable/hyginus/2pr/	2pr.4	2pr.4.0	quos	ls.n40103:qui1
https://lingualatina.github.io/texts/browsable/hyginus/2pr/	2pr.4	2pr.4.1	cum	ls.n11872:cum1
https://lingualatina.github.io/texts/browsable/hyginus/2pr/	2pr.4	2pr.4.2	ad	ls.n665:ad
https://lingualatina.github.io/texts/browsable/hyginus/2pr/	2pr.4	2pr.4.3	supplicium	ls.n46972:supplicium
https://lingualatina.github.io/texts/browsable/hyginus/2pr/	2pr.4	2pr.4.4	duceret	ls.n14847:duco
https://lingualatina.github.io/texts/browsable/hyginus/2pr/	2pr.4	2pr.4.4_0	,	ls.null
https://lingualatina.github.io/texts/browsable/hyginus/2pr/	2pr.4	2pr.4.5	Liber	ls.n26468:liber4
https://lingualatina.github.io/texts/browsable/hyginus/2pr/	2pr.4	2pr.4.5	Liber	ls.n26465:liber1
https://lingualatina.github.io/texts/browsable/hyginus/2pr/	2pr.4	2pr.4.6	pater	ls.n34096:pater
https://lingualatina.github.io/texts/browsable/hyginus/2pr/	2pr.4	2pr.4.7	ei	ls.n25029:is
https://lingualatina.github.io/texts/browsable/hyginus/2pr/	2pr.4	2pr.4.8	caliginem	ls.n6259:caligo1
https://lingualatina.github.io/texts/browsable/hyginus/2pr/	2pr.4	2pr.4.9	iniecit	ls.n23465:inicio
https://lingualatina.github.io/texts/browsable/hyginus/2pr/	2pr.4	2pr.4.10	et	ls.n16278:et
https://lingualatina.github.io/texts/browsable/hyginus/2pr/	2pr.4	2pr.4.11	Ino	ls.null
https://lingualatina.github.io/texts/browsable/hyginus/2pr/	2pr.4	2pr.4.12	suam	ls.n47174:suus
https://lingualatina.github.io/texts/browsable/hyginus/2pr/	2pr.4	2pr.4.13	nutricem	ls.n31520:nutrix
https://lingualatina.github.io/texts/browsable/hyginus/2pr/	2pr.4	2pr.4.14	eripuit	ls.n16146:eripio
https://lingualatina.github.io/texts/browsable/hyginus/2pr/	2pr.4	2pr.4.14_0	.	ls.null
https://lingualatina.github.io/texts/browsable/hyginus/2pr/	2pr.4	2pr.4.15	Athamas	ls.n4239:Athamas
https://lingualatina.github.io/texts/browsable/hyginus/2pr/	2pr.4	2pr.4.16	postea	ls.n37196:postea
https://lingualatina.github.io/texts/browsable/hyginus/2pr/	2pr.4	2pr.4.16_0	,	ls.null
https://lingualatina.github.io/texts/browsable/hyginus/2pr/	2pr.4	2pr.4.17	ab	ls.n4:ab
https://lingualatina.github.io/texts/browsable/hyginus/2pr/	2pr.4	2pr.4.18	Ioue	ls.null
https://lingualatina.github.io/texts/browsable/hyginus/2pr/	2pr.4	2pr.4.19	insania	ls.n23716:insania
https://lingualatina.github.io/texts/browsable/hyginus/2pr/	2pr.4	2pr.4.20	obiecta	ls.n31628:obicio
https://lingualatina.github.io/texts/browsable/hyginus/2pr/	2pr.4	2pr.4.20_0	,	ls.null
https://lingualatina.github.io/texts/browsable/hyginus/2pr/	2pr.4	2pr.4.21	Learchum	ls.null
https://lingualatina.github.io/texts/browsable/hyginus/2pr/	2pr.4	2pr.4.22	filium	ls.n18185:filius
https://lingualatina.github.io/texts/browsable/hyginus/2pr/	2pr.4	2pr.4.23	interfecit	ls.n24257:interficio
https://lingualatina.github.io/texts/browsable/hyginus/2pr/	2pr.4	2pr.4.23_0	.	ls.null
https://lingualatina.github.io/texts/browsable/hyginus/2pr/	2pr.5	2pr.5.0	at	ls.n4220:at
https://lingualatina.github.io/texts/browsable/hyginus/2pr/	2pr.5	2pr.5.1	Ino	ls.null
https://lingualatina.github.io/texts/browsable/hyginus/2pr/	2pr.5	2pr.5.2	cum	ls.n11872:cum1
https://lingualatina.github.io/texts/browsable/hyginus/2pr/	2pr.5	2pr.5.3	Melicerte	ls.null
https://lingualatina.github.io/texts/browsable/hyginus/2pr/	2pr.5	2pr.5.4	filio	ls.n18185:filius
https://lingualatina.github.io/texts/browsable/hyginus/2pr/	2pr.5	2pr.5.5	suo	ls.n47174:suus
https://lingualatina.github.io/texts/browsable/hyginus/2pr/	2pr.5	2pr.5.6	in	ls.n22111:in1
https://lingualatina.github.io/texts/browsable/hyginus/2pr/	2pr.5	2pr.5.7	mare	ls.n28019:mare
https://lingualatina.github.io/texts/browsable/hyginus/2pr/	2pr.5	2pr.5.8	se	ls.do
https://lingualatina.github.io/texts/browsable/hyginus/2pr/	2pr.5	2pr.5.8	se	ls.n46498:sui
https://lingualatina.github.io/texts/browsable/hyginus/2pr/	2pr.5	2pr.5.9	praecipitauit	ls.n37415:praecipito
https://lingualatina.github.io/texts/browsable/hyginus/2pr/	2pr.5	2pr.5.9_0	;	ls.null
https://lingualatina.github.io/texts/browsable/hyginus/2pr/	2pr.5	2pr.5.10	quam	ls.n40103:qui1
