url	passage	token	lexeme
https://lingualatina.github.io/texts/browsable/hyginus/1pr/	1pr.title	THEMISTO	ls.null
https://lingualatina.github.io/texts/browsable/hyginus/1pr/	1pr.title	.	ls.null
https://lingualatina.github.io/texts/browsable/hyginus/1pr/	1pr.1	Athamas	ls.n4239:Athamas
https://lingualatina.github.io/texts/browsable/hyginus/1pr/	1pr.1	Aeoli	ls.n1263:Aeolus
https://lingualatina.github.io/texts/browsable/hyginus/1pr/	1pr.1	filius	ls.n18185:filius
https://lingualatina.github.io/texts/browsable/hyginus/1pr/	1pr.1	habuit	ls.n20077:habeo
https://lingualatina.github.io/texts/browsable/hyginus/1pr/	1pr.1	ex	ls.n16519:ex
https://lingualatina.github.io/texts/browsable/hyginus/1pr/	1pr.1	Nebula	ls.n30600:nebula
https://lingualatina.github.io/texts/browsable/hyginus/1pr/	1pr.1	uxore	ls.n50039:uxor
https://lingualatina.github.io/texts/browsable/hyginus/1pr/	1pr.1	filium	ls.n18185:filius
https://lingualatina.github.io/texts/browsable/hyginus/1pr/	1pr.1	Phrixum	ls.null
https://lingualatina.github.io/texts/browsable/hyginus/1pr/	1pr.1	et	ls.n16278:et
https://lingualatina.github.io/texts/browsable/hyginus/1pr/	1pr.1	filiam	ls.n18173:filia
https://lingualatina.github.io/texts/browsable/hyginus/1pr/	1pr.1	Hellen	ls.null
https://lingualatina.github.io/texts/browsable/hyginus/1pr/	1pr.1	,	ls.null
https://lingualatina.github.io/texts/browsable/hyginus/1pr/	1pr.1	Themisto	ls.null
https://lingualatina.github.io/texts/browsable/hyginus/1pr/	1pr.1	Hypsei	ls.null
https://lingualatina.github.io/texts/browsable/hyginus/1pr/	1pr.1	filia	ls.n18173:filia
https://lingualatina.github.io/texts/browsable/hyginus/1pr/	1pr.1	filios	ls.n18185:filius
https://lingualatina.github.io/texts/browsable/hyginus/1pr/	1pr.1	duos	ls.n14914:duo
https://lingualatina.github.io/texts/browsable/hyginus/1pr/	1pr.1	Sphincium	ls.null
https://lingualatina.github.io/texts/browsable/hyginus/1pr/	1pr.1	Orchomenum	ls.null
https://lingualatina.github.io/texts/browsable/hyginus/1pr/	1pr.1	Ino	ls.null
https://lingualatina.github.io/texts/browsable/hyginus/1pr/	1pr.1	Cadmi	ls.null
https://lingualatina.github.io/texts/browsable/hyginus/1pr/	1pr.1	Learchum	ls.null
https://lingualatina.github.io/texts/browsable/hyginus/1pr/	1pr.1	Melicerten	ls.null
https://lingualatina.github.io/texts/browsable/hyginus/1pr/	1pr.1	.	ls.null
https://lingualatina.github.io/texts/browsable/hyginus/1pr/	1pr.2	Themisto	ls.null
https://lingualatina.github.io/texts/browsable/hyginus/1pr/	1pr.2	,	ls.null
https://lingualatina.github.io/texts/browsable/hyginus/1pr/	1pr.2	quod	ls.n40262:quod1
https://lingualatina.github.io/texts/browsable/hyginus/1pr/	1pr.2	quod	ls.n40103:qui1
https://lingualatina.github.io/texts/browsable/hyginus/1pr/	1pr.2	se	ls.do
https://lingualatina.github.io/texts/browsable/hyginus/1pr/	1pr.2	se	ls.n46498:sui
https://lingualatina.github.io/texts/browsable/hyginus/1pr/	1pr.2	Ino	ls.null
https://lingualatina.github.io/texts/browsable/hyginus/1pr/	1pr.2	coniugio	ls.n10349:conjugium
https://lingualatina.github.io/texts/browsable/hyginus/1pr/	1pr.2	priuasset	ls.n38381:privo
https://lingualatina.github.io/texts/browsable/hyginus/1pr/	1pr.2	filios	ls.n18185:filius
https://lingualatina.github.io/texts/browsable/hyginus/1pr/	1pr.2	eius	ls.n25029:is
https://lingualatina.github.io/texts/browsable/hyginus/1pr/	1pr.2	interficere	ls.n24257:interficio
https://lingualatina.github.io/texts/browsable/hyginus/1pr/	1pr.2	uoluit	ls.n51298:volo1
https://lingualatina.github.io/texts/browsable/hyginus/1pr/	1pr.2	;	ls.null
https://lingualatina.github.io/texts/browsable/hyginus/1pr/	1pr.2	itaque	ls.n25104:itaque
https://lingualatina.github.io/texts/browsable/hyginus/1pr/	1pr.2	in	ls.n22111:in1
https://lingualatina.github.io/texts/browsable/hyginus/1pr/	1pr.2	regia	ls.n40905:regius
https://lingualatina.github.io/texts/browsable/hyginus/1pr/	1pr.2	latuit	ls.null
https://lingualatina.github.io/texts/browsable/hyginus/1pr/	1pr.2	clam	ls.n8472:clam
https://lingualatina.github.io/texts/browsable/hyginus/1pr/	1pr.2	et	ls.n16278:et
https://lingualatina.github.io/texts/browsable/hyginus/1pr/	1pr.2	occasione	ls.n32063:occasio
https://lingualatina.github.io/texts/browsable/hyginus/1pr/	1pr.2	nacta	ls.n30357:nanciscor
https://lingualatina.github.io/texts/browsable/hyginus/1pr/	1pr.2	cum	ls.n11872:cum1
https://lingualatina.github.io/texts/browsable/hyginus/1pr/	1pr.2	putaret	ls.n39703:puto
https://lingualatina.github.io/texts/browsable/hyginus/1pr/	1pr.2	inimicae	ls.n23465:inicio
https://lingualatina.github.io/texts/browsable/hyginus/1pr/	1pr.2	natos	ls.n30423:nascor
https://lingualatina.github.io/texts/browsable/hyginus/1pr/	1pr.2	interfecisse	ls.n24257:interficio
https://lingualatina.github.io/texts/browsable/hyginus/1pr/	1pr.2	suos	ls.n47174:suus
https://lingualatina.github.io/texts/browsable/hyginus/1pr/	1pr.2	imprudens	ls.n22067:imprudens
https://lingualatina.github.io/texts/browsable/hyginus/1pr/	1pr.2	occidit	ls.n32088:occido1
https://lingualatina.github.io/texts/browsable/hyginus/1pr/	1pr.2	a	ls.n4:ab
https://lingualatina.github.io/texts/browsable/hyginus/1pr/	1pr.2	nutrice	ls.n31520:nutrix
https://lingualatina.github.io/texts/browsable/hyginus/1pr/	1pr.2	decepta	ls.n12498:decipio
https://lingualatina.github.io/texts/browsable/hyginus/1pr/	1pr.2	eis	ls.n25029:is
https://lingualatina.github.io/texts/browsable/hyginus/1pr/	1pr.2	uestem	ls.n50735:vestis
https://lingualatina.github.io/texts/browsable/hyginus/1pr/	1pr.2	perperam	ls.null
https://lingualatina.github.io/texts/browsable/hyginus/1pr/	1pr.2	iniecerat	ls.n23465:inicio
https://lingualatina.github.io/texts/browsable/hyginus/1pr/	1pr.2	.	ls.null
https://lingualatina.github.io/texts/browsable/hyginus/1pr/	1pr.2	cognita	ls.n8938:cognosco
https://lingualatina.github.io/texts/browsable/hyginus/1pr/	1pr.2	re	ls.n41293:res
https://lingualatina.github.io/texts/browsable/hyginus/1pr/	1pr.2	ipsa	ls.n24872:ipse
https://lingualatina.github.io/texts/browsable/hyginus/1pr/	1pr.2	interfecit	ls.n24257:interficio
https://lingualatina.github.io/texts/browsable/hyginus/2pr/	2pr.title	INO	ls.null
https://lingualatina.github.io/texts/browsable/hyginus/2pr/	2pr.title	.	ls.null
https://lingualatina.github.io/texts/browsable/hyginus/2pr/	2pr.1	Ino	ls.null
https://lingualatina.github.io/texts/browsable/hyginus/2pr/	2pr.1	Cadmi	ls.null
https://lingualatina.github.io/texts/browsable/hyginus/2pr/	2pr.1	et	ls.n16278:et
https://lingualatina.github.io/texts/browsable/hyginus/2pr/	2pr.1	Harmoniae	ls.n20237:harmonia1
https://lingualatina.github.io/texts/browsable/hyginus/2pr/	2pr.1	filia	ls.n18173:filia
https://lingualatina.github.io/texts/browsable/hyginus/2pr/	2pr.1	,	ls.null
https://lingualatina.github.io/texts/browsable/hyginus/2pr/	2pr.1	cum	ls.n11872:cum1
https://lingualatina.github.io/texts/browsable/hyginus/2pr/	2pr.1	Phrixum	ls.null
https://lingualatina.github.io/texts/browsable/hyginus/2pr/	2pr.1	Hellen	ls.null
https://lingualatina.github.io/texts/browsable/hyginus/2pr/	2pr.1	ex	ls.n16519:ex
https://lingualatina.github.io/texts/browsable/hyginus/2pr/	2pr.1	Nebula	ls.n30600:nebula
https://lingualatina.github.io/texts/browsable/hyginus/2pr/	2pr.1	natos	ls.n30423:nascor
https://lingualatina.github.io/texts/browsable/hyginus/2pr/	2pr.1	interficere	ls.n24257:interficio
https://lingualatina.github.io/texts/browsable/hyginus/2pr/	2pr.1	uoluisset	ls.n51298:volo1
https://lingualatina.github.io/texts/browsable/hyginus/2pr/	2pr.1	iniit	ls.null
https://lingualatina.github.io/texts/browsable/hyginus/2pr/	2pr.1	consilium	ls.n10519:consilium
https://lingualatina.github.io/texts/browsable/hyginus/2pr/	2pr.1	totius	ls.null
https://lingualatina.github.io/texts/browsable/hyginus/2pr/	2pr.1	generis	ls.n19477:genus1
https://lingualatina.github.io/texts/browsable/hyginus/2pr/	2pr.1	matronis	ls.n28220:matrona1
https://lingualatina.github.io/texts/browsable/hyginus/2pr/	2pr.1	coniurauit	ls.n10364:conjuro
https://lingualatina.github.io/texts/browsable/hyginus/2pr/	2pr.1	ut	ls.n49975:ut
https://lingualatina.github.io/texts/browsable/hyginus/2pr/	2pr.1	fruges	ls.n18920:frux
https://lingualatina.github.io/texts/browsable/hyginus/2pr/	2pr.1	in	ls.n22111:in1
https://lingualatina.github.io/texts/browsable/hyginus/2pr/	2pr.1	sementem	ls.null
https://lingualatina.github.io/texts/browsable/hyginus/2pr/	2pr.1	quas	ls.n40242:quis1
https://lingualatina.github.io/texts/browsable/hyginus/2pr/	2pr.1	quas	ls.n40103:qui1
https://lingualatina.github.io/texts/browsable/hyginus/2pr/	2pr.1	daret	ls.n14599:do1
https://lingualatina.github.io/texts/browsable/hyginus/2pr/	2pr.1	torrerent	ls.null
https://lingualatina.github.io/texts/browsable/hyginus/2pr/	2pr.1	ne	ls.n30583:ne1
https://lingualatina.github.io/texts/browsable/hyginus/2pr/	2pr.1	nascerentur	ls.n30423:nascor
https://lingualatina.github.io/texts/browsable/hyginus/2pr/	2pr.1	;	ls.null
https://lingualatina.github.io/texts/browsable/hyginus/2pr/	2pr.1	ita	ls.n25100:ita
https://lingualatina.github.io/texts/browsable/hyginus/2pr/	2pr.1	sterilitas	ls.n45362:sterilitas
https://lingualatina.github.io/texts/browsable/hyginus/2pr/	2pr.1	penuria	ls.n34585:penuria
https://lingualatina.github.io/texts/browsable/hyginus/2pr/	2pr.1	frugum	ls.n18920:frux
https://lingualatina.github.io/texts/browsable/hyginus/2pr/	2pr.1	esset	ls.n46529:sum1
https://lingualatina.github.io/texts/browsable/hyginus/2pr/	2pr.1	ciuitas	ls.n8465:civitas
https://lingualatina.github.io/texts/browsable/hyginus/2pr/	2pr.1	tota	ls.null
https://lingualatina.github.io/texts/browsable/hyginus/2pr/	2pr.1	partim	ls.n33974:partim
https://lingualatina.github.io/texts/browsable/hyginus/2pr/	2pr.1	fame	ls.n17642:fames
https://lingualatina.github.io/texts/browsable/hyginus/2pr/	2pr.1	morbo	ls.null
https://lingualatina.github.io/texts/browsable/hyginus/2pr/	2pr.1	interiret	ls.n24288:interitus1
https://lingualatina.github.io/texts/browsable/hyginus/2pr/	2pr.1	interiret	ls.n24241:intereo
https://lingualatina.github.io/texts/browsable/hyginus/2pr/	2pr.1	.	ls.null
https://lingualatina.github.io/texts/browsable/hyginus/2pr/	2pr.2	de	ls.do
https://lingualatina.github.io/texts/browsable/hyginus/2pr/	2pr.2	de	ls.n12361:de2
https://lingualatina.github.io/texts/browsable/hyginus/2pr/	2pr.2	ea	ls.n25029:is
https://lingualatina.github.io/texts/browsable/hyginus/2pr/	2pr.2	re	ls.n41293:res
https://lingualatina.github.io/texts/browsable/hyginus/2pr/	2pr.2	Delphos	ls.null
https://lingualatina.github.io/texts/browsable/hyginus/2pr/	2pr.2	mittit	ls.n29328:mitto
https://lingualatina.github.io/texts/browsable/hyginus/2pr/	2pr.2	Athamas	ls.n4239:Athamas
https://lingualatina.github.io/texts/browsable/hyginus/2pr/	2pr.2	satellitem	ls.n42691:satelles
https://lingualatina.github.io/texts/browsable/hyginus/2pr/	2pr.2	,	ls.null
https://lingualatina.github.io/texts/browsable/hyginus/2pr/	2pr.2	cui	ls.n40242:quis1
https://lingualatina.github.io/texts/browsable/hyginus/2pr/	2pr.2	cui	ls.n40103:qui1
https://lingualatina.github.io/texts/browsable/hyginus/2pr/	2pr.2	Ino	ls.null
https://lingualatina.github.io/texts/browsable/hyginus/2pr/	2pr.2	praecepit	ls.n37409:praecipio
https://lingualatina.github.io/texts/browsable/hyginus/2pr/	2pr.2	ut	ls.n49975:ut
https://lingualatina.github.io/texts/browsable/hyginus/2pr/	2pr.2	falsum	ls.n17632:falsus
https://lingualatina.github.io/texts/browsable/hyginus/2pr/	2pr.2	responsum	ls.n41387:respondeo
https://lingualatina.github.io/texts/browsable/hyginus/2pr/	2pr.2	ita	ls.n25100:ita
https://lingualatina.github.io/texts/browsable/hyginus/2pr/	2pr.2	referret	ls.n40791:refero
https://lingualatina.github.io/texts/browsable/hyginus/2pr/	2pr.2	si	ls.do
https://lingualatina.github.io/texts/browsable/hyginus/2pr/	2pr.2	si	ls.n44096:si
https://lingualatina.github.io/texts/browsable/hyginus/2pr/	2pr.2	Phrixum	ls.null
https://lingualatina.github.io/texts/browsable/hyginus/2pr/	2pr.2	immolasset	ls.n21752:immolo
https://lingualatina.github.io/texts/browsable/hyginus/2pr/	2pr.2	Ioui	ls.null
https://lingualatina.github.io/texts/browsable/hyginus/2pr/	2pr.2	pestilentiae	ls.n35777:pestilentia
https://lingualatina.github.io/texts/browsable/hyginus/2pr/	2pr.2	fore	ls.n46529:sum1
https://lingualatina.github.io/texts/browsable/hyginus/2pr/	2pr.2	finem	ls.n18202:finis
https://lingualatina.github.io/texts/browsable/hyginus/2pr/	2pr.2	.	ls.null
https://lingualatina.github.io/texts/browsable/hyginus/2pr/	2pr.2	quod	ls.n40262:quod1
https://lingualatina.github.io/texts/browsable/hyginus/2pr/	2pr.2	quod	ls.n40103:qui1
https://lingualatina.github.io/texts/browsable/hyginus/2pr/	2pr.2	cum	ls.n11872:cum1
https://lingualatina.github.io/texts/browsable/hyginus/2pr/	2pr.2	se	ls.do
https://lingualatina.github.io/texts/browsable/hyginus/2pr/	2pr.2	se	ls.n46498:sui
https://lingualatina.github.io/texts/browsable/hyginus/2pr/	2pr.2	facturum	ls.n17516:facio
https://lingualatina.github.io/texts/browsable/hyginus/2pr/	2pr.2	abnuisset	ls.null
https://lingualatina.github.io/texts/browsable/hyginus/2pr/	2pr.2	Phrixus	ls.null
https://lingualatina.github.io/texts/browsable/hyginus/2pr/	2pr.2	ultro	ls.null
https://lingualatina.github.io/texts/browsable/hyginus/2pr/	2pr.2	ac	ls.n283:ac2
https://lingualatina.github.io/texts/browsable/hyginus/2pr/	2pr.2	libens	ls.n26488:libet
https://lingualatina.github.io/texts/browsable/hyginus/2pr/	2pr.2	pollicetur	ls.n36862:polliceor
