lexId,label,value
ls.n10029,condo,ls.n10029:condo
ls.n10088,confero,ls.n10088:confero
ls.n1010,adsum,ls.n1010:adsum
ls.n1021,adulescens,ls.n1021:adulescens
ls.n10309,conicio,ls.n10309:conicio
ls.n10349,conjugium,ls.n10349:conjugium
ls.n10361,conjunx,ls.n10361:conjunx
ls.n10364,conjuro,ls.n10364:conjuro
ls.n10379,conor,ls.n10379:conor
ls.n10519,consilium,ls.n10519:consilium
ls.n10586,conspicio1,ls.n10586:conspicio1
ls.n10632,constituo,ls.n10632:constituo
ls.n10692,consultum,ls.n10692:consultum
ls.n10701,consumo,ls.n10701:consumo
ls.n10732,contamino,ls.n10732:contamino
ls.n10770,contendo,ls.n10770:contendo
ls.n10857,contra,ls.n10857:contra
ls.n10926,contumelia,ls.n10926:contumelia
ls.n1094,adversus2,ls.n1094:adversus2
ls.n10953,conubium,ls.n10953:conubium
ls.n10977,convenio,ls.n10977:convenio
ls.n11004,converto,ls.n11004:converto
ls.n11044,convoco,ls.n11044:convoco
ls.n11079,copia1,ls.n11079:copia1
ls.n11124,cor,ls.n11124:cor
ls.n11216,cornu,ls.n11216:cornu
ls.n1121,Aeacus,ls.n1121:Aeacus
ls.n11234,corona,ls.n11234:corona
ls.n11249,coronis1,ls.n11249:coronis1
ls.n11268,corpus,ls.n11268:corpus
ls.n11525,credo,ls.n11525:credo
ls.n11543,creo1,ls.n11543:creo1
ls.n11570,cresco,ls.n11570:cresco
ls.n11600,crimen,ls.n11600:crimen
ls.n11616,crinis,ls.n11616:crinis
ls.n11707,crucifigo,ls.n11707:crucifigo
ls.n11714,crudelitas,ls.n11714:crudelitas
ls.n11726,cruentus,ls.n11726:cruentus
ls.n11769,cubiculum,ls.n11769:cubiculum
ls.n1181,Aegisthus,ls.n1181:Aegisthus
ls.n11860,culter,ls.n11860:culter
ls.n11872,cum1,ls.n11872:cum1
ls.n11914,cunctus,ls.n11914:cunctus
ls.n11948,cupiditas,ls.n11948:cupiditas
ls.n11949,cupido,ls.n11949:cupido
ls.n11977,cur,ls.n11977:cur
ls.n11978,cura,ls.n11978:cura
ls.n12030,curro,ls.n12030:curro
ls.n12032,currus,ls.n12032:currus
ls.n12045,cursus,ls.n12045:cursus
ls.n12071,custodia,ls.n12071:custodia
ls.n12074,custodio,ls.n12074:custodio
ls.n12076,custos,ls.n12076:custos
ls.n12114,cycnus1,ls.n12114:cycnus1
ls.n12263,Daedalus,ls.n12263:Daedalus
ls.n12301,damno,ls.n12301:damno
ls.n12314,Danaus,ls.n12314:Danaus
ls.n12361,de2,ls.n12361:de2
ls.n12362,dea,ls.n12362:dea
ls.n12387,debeo,ls.n12387:debeo
ls.n12432,decem,ls.n12432:decem
ls.n12484,decido2,ls.n12484:decido2
ls.n12494,decimus1,ls.n12494:decimus1
ls.n12498,decipio,ls.n12498:decipio
ls.n12628,dedo,ls.n12628:dedo
ls.n1263,Aeolus,ls.n1263:Aeolus
ls.n12664,defendo,ls.n12664:defendo
ls.n12677,defero,ls.n12677:defero
ls.n12687,deficio,ls.n12687:deficio
ls.n12804,deicio,ls.n12804:deicio
ls.n12812,deinde,ls.n12812:deinde
ls.n12919,deligo1,ls.n12919:deligo1
ls.n12960,delphinus,ls.n12960:delphinus
ls.n13047,demonstro,ls.n13047:demonstro
ls.n13065,demum,ls.n13065:demum
ls.n13201,depono,ls.n13201:depono
ls.n13241,deprecor,ls.n13241:deprecor
ls.n13329,descendo,ls.n13329:descendo
ls.n13352,desero2,ls.n13352:desero2
ls.n13492,desum,ls.n13492:desum
ls.n1353,aerumna,ls.n1353:aerumna
ls.n13551,detraho,ls.n13551:detraho
ls.n13560,detrudo,ls.n13560:detrudo
ls.n13573,deus,ls.n13573:deus
ls.n13586,devenio,ls.n13586:devenio
ls.n13630,devoro,ls.n13630:devoro
ls.n13731,Diana,ls.n13731:Diana
ls.n13804,dico2,ls.n13804:dico2
ls.n13847,dies,ls.n13847:dies
ls.n1392,aestimo,ls.n1392:aestimo
ls.n13930,dignitas,ls.n13930:dignitas
ls.n14028,dimitto,ls.n14028:dimitto
ls.n1406,aetas,ls.n1406:aetas
ls.n1413,aeternus,ls.n1413:aeternus
ls.n14145,discedo,ls.n14145:discedo
ls.n14166,disciplina,ls.n14166:disciplina
ls.n14180,disco,ls.n14180:disco
ls.n14196,discordia,ls.n14196:discordia
ls.n14334,displiceo,ls.n14334:displiceo
ls.n14485,distraho,ls.n14485:distraho
ls.n14514,diu,ls.n14514:diu
ls.n14559,divido,ls.n14559:divido
ls.n14573,divinus,ls.n14573:divinus
ls.n14599,do1,ls.n14599:do1
ls.n14602,doceo,ls.n14602:doceo
ls.n14669,dolor,ls.n14669:dolor
ls.n14674,dolus,ls.n14674:dolus
ls.n14720,domus,ls.n14720:domus
ls.n14731,donec,ls.n14731:donec
ls.n14735,dono,ls.n14735:dono
ls.n14736,donum,ls.n14736:donum
ls.n14747,dormio,ls.n14747:dormio
ls.n14774a,draco1,ls.n14774a:draco1
ls.n14847,duco,ls.n14847:duco
ls.n14855,ductor,ls.n14855:ductor
ls.n14902,dum,ls.n14902:dum
ls.n14914,duo,ls.n14914:duo
ls.n14920,duodecim,ls.n14920:duodecim
ls.n14988,duro,ls.n14988:duro
ls.n15002,dux,ls.n15002:dux
ls.n15140,edico,ls.n15140:edico
ls.n15157,edo2,ls.n15157:edo2
ls.n15175,educo2,ls.n15175:educo2
ls.n15216,effero1,ls.n15216:effero1
ls.n15285,effugio,ls.n15285:effugio
ls.n15308,egeo,ls.n15308:egeo
ls.n15326,ego,ls.n15326:ego
ls.n15344,eicio,ls.n15344:eicio
ls.n1534,ager,ls.n1534:ager
ls.n15790,enim,ls.n15790:enim
ls.n15834,ensis,ls.n15834:ensis
ls.n15868,eo1,ls.n15868:eo1
ls.n15896,ephebus,ls.n15896:ephebus
ls.n15995,epistula,ls.n15995:epistula
ls.n1603,agnosco,ls.n1603:agnosco
ls.n16047,epulum,ls.n16047:epulum
ls.n16049,equa,ls.n16049:equa
ls.n1605,ago,ls.n1605:ago
ls.n16074,equus,ls.n16074:equus
ls.n16113,erga,ls.n16113:erga
ls.n16121,ergo,ls.n16121:ergo
ls.n16146,eripio,ls.n16146:eripio
ls.n16278,et,ls.n16278:et
ls.n16296,etiam,ls.n16296:etiam
ls.n16342,Eumaeus,ls.n16342:Eumaeus
ls.n16519,ex,ls.n16519:ex
ls.n1659,aio,ls.n1659:aio
ls.n16624,excaeco,ls.n16624:excaeco
ls.n16644,excedo,ls.n16644:excedo
ls.n16677,excipio,ls.n16677:excipio
ls.n16796,exemplum,ls.n16796:exemplum
ls.n16804,exeo,ls.n16804:exeo
ls.n16824,exercitus2,ls.n16824:exercitus2
ls.n16876,exiguus,ls.n16876:exiguus
ls.n16897,existimo,ls.n16897:existimo
ls.n16904,exitium,ls.n16904:exitium
ls.n16906,exitus2,ls.n16906:exitus2
ls.n17004,expello,ls.n17004:expello
ls.n17049,expio,ls.n17049:expio
ls.n17092,expono,ls.n17092:expono
ls.n17132,expugno,ls.n17132:expugno
ls.n17202,exsequiae,ls.n17202:exsequiae
ls.n17205,exsequor,ls.n17205:exsequor
ls.n17219,exsilium,ls.n17219:exsilium
ls.n17284,exsul,ls.n17284:exsul
ls.n1743,albus,ls.n1743:albus
ls.n17511,facilis,ls.n17511:facilis
ls.n17515,facinus,ls.n17515:facinus
ls.n17516,facio,ls.n17516:facio
ls.n17632,falsus,ls.n17632:falsus
ls.n17642,fames,ls.n17642:fames
ls.n17677,famulus1,ls.n17677:famulus1
ls.n17687,fanum1,ls.n17687:fanum1
ls.n17775,fatalis,ls.n17775:fatalis
ls.n17799,fatum,ls.n17799:fatum
ls.n17843,fax,ls.n17843:fax
ls.n17904,femina,ls.n17904:femina
ls.n17908,femineus,ls.n17908:femineus
ls.n17940,fere,ls.n17940:fere
ls.n17953,ferio,ls.n17953:ferio
ls.n17964,fero,ls.n17964:fero
ls.n17971,ferox,ls.n17971:ferox
ls.n17991,ferrum,ls.n17991:ferrum
ls.n18024,fessus,ls.n18024:fessus
ls.n18034,festino,ls.n18034:festino
ls.n18045,festus1,ls.n18045:festus1
ls.n18127,fides1,ls.n18127:fides1
ls.n18150,figo,ls.n18150:figo
ls.n18160,figura,ls.n18160:figura
ls.n18173,filia,ls.n18173:filia
ls.n18185,filius,ls.n18185:filius
ls.n18202,finis,ls.n18202:finis
ls.n18204,finitimus,ls.n18204:finitimus
ls.n18209,fio,ls.n18209:fio
ls.n18307,flamma1,ls.n18307:flamma1
ls.n18352,flecto,ls.n18352:flecto
ls.n18355,fleo,ls.n18355:fleo
ls.n18429,fluctus,ls.n18429:fluctus
ls.n18442,flumen,ls.n18442:flumen
ls.n1846,alimentum,ls.n1846:alimentum
ls.n18508,folium,ls.n18508:folium
ls.n18524,fons,ls.n18524:fons
ls.n18566,forma,ls.n18566:forma
ls.n18600,formosus,ls.n18600:formosus
ls.n18637,fortis,ls.n18637:fortis
ls.n1863,aliquando,ls.n1863:aliquando
ls.n18704,frango,ls.n18704:frango
ls.n18705,frater,ls.n18705:frater
ls.n18726,fraudo,ls.n18726:fraudo
ls.n1874,aliquis,ls.n1874:aliquis
ls.n18884,frumentum,ls.n18884:frumentum
ls.n18920,frux,ls.n18920:frux
ls.n18934,fuga,ls.n18934:fuga
ls.n18943,fugio,ls.n18943:fugio
ls.n18949,fugo,ls.n18949:fugo
ls.n1896,alius2,ls.n1896:alius2
ls.n18993,fulmen,ls.n18993:fulmen
ls.n19053,funebris,ls.n19053:funebris
ls.n19075,funus,ls.n19075:funus
ls.n19099,furia,ls.n19099:furia
ls.n19114,Furius,ls.n19114:Furius
ls.n19336,gaudium,ls.n19336:gaudium
ls.n19387,geminus,ls.n19387:geminus
ls.n19461,gens,ls.n19461:gens
ls.n19471,genu,ls.n19471:genu
ls.n19477,genus1,ls.n19477:genus1
ls.n1947,alligo,ls.n1947:alligo
ls.n19512,gero1,ls.n19512:gero1
ls.n19570,gigno,ls.n19570:gigno
ls.n19607,gladius,ls.n19607:gladius
ls.n19675,gloria,ls.n19675:gloria
ls.n19810,Graeci,ls.n19810:Graeci
ls.n19896,gratia,ls.n19896:gratia
ls.n19936,gravidus,ls.n19936:gravidus
ls.n19937,gravis,ls.n19937:gravis
ls.n19994,gubernaculum,ls.n19994:gubernaculum
ls.n19996,gubernator,ls.n19996:gubernator
ls.n20077,habeo,ls.n20077:habeo
ls.n20088,habito,ls.n20088:habito
ls.n2015,alter,ls.n2015:alter
ls.n20237,harmonia1,ls.n20237:harmonia1
ls.n20273,hasta,ls.n20273:hasta
ls.n202,abscondo,ls.n202:abscondo
ls.n20321,Hector,ls.n20321:Hector
ls.n20511,Hercules,ls.n20511:Hercules
ls.n2061,altus1,ls.n2061:altus1
ls.n20640,hic,ls.n20640:hic
ls.n20809,historia,ls.n20809:historia
ls.n20829,hodie,ls.n20829:hodie
ls.n20866,homo,ls.n20866:homo
ls.n20890,honor,ls.n20890:honor
ls.n20912,hora1,ls.n20912:hora1
ls.n20992,hortor,ls.n20992:hortor
ls.n20998,hospes,ls.n20998:hospes
ls.n21007,hospitium,ls.n21007:hospitium
ls.n21026,hostis,ls.n21026:hostis
ls.n21031,huc,ls.n21031:huc
ls.n21043,humanus,ls.n21043:humanus
ls.n21296,ibi,ls.n21296:ibi
ls.n21321,icio,ls.n21321:icio
ls.n21333,ictus2,ls.n21333:ictus2
ls.n21343,idem,ls.n21343:idem
ls.n21345,ideo,ls.n21345:ideo
ls.n21376,igitur,ls.n21376:igitur
ls.n21377,ignarus,ls.n21377:ignarus
ls.n21403,ignis,ls.n21403:ignis
ls.n21494,ille,ls.n21494:ille
ls.n21521,illic2,ls.n21521:illic2
ls.n21675,immanis,ls.n21675:immanis
ls.n21734,immo,ls.n21734:immo
ls.n21752,immolo,ls.n21752:immolo
ls.n21880,imperium,ls.n21880:imperium
ls.n21886,impero,ls.n21886:impero
ls.n21916,impetro,ls.n21916:impetro
ls.n21919,impetus,ls.n21919:impetus
ls.n21966,imploro,ls.n21966:imploro
ls.n2197,ambulo,ls.n2197:ambulo
ls.n21980,impono,ls.n21980:impono
ls.n22067,imprudens,ls.n22067:imprudens
ls.n22087,impulsus2,ls.n22087:impulsus2
ls.n22111,in1,ls.n22111:in1
ls.n22294,incendo,ls.n22294:incendo
ls.n22331,incestus1,ls.n22331:incestus1
ls.n22337,incido1,ls.n22337:incido1
ls.n22350,incipio,ls.n22350:incipio
